41,"ゼストキャンティーナ ZEST CANTINA G-Zone銀座店",35.6751443400,139.7684521221,"東京都中央区銀座１－２－３　Ｇ－Ｚｏｎｅ（ジーゾーン）銀座","月～日、祝日、祝前日: 11:30～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）","2001～3000円","https://www.hotpepper.jp/strJ000116709/?vos=nhppalsa000016","050-5831-1296","https://imgfp.hotp.jp/IMGH/21/71/P026522171/P026522171_238.jpg",NULL,"2017-05-12 06:48:54","2017-05-12 06:53:44"
42,"EIKO 銀座本店",35.6750695980,139.7674002700,"東京都中央区銀座１-5-2 西勢ビルB1F","月～金: 11:30～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）土、祝日: 17:00～22:00 （料理L.O. 22:00 ドリンクL.O. 22:00）祝前日: 11:30～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）","5001～7000円","https://www.hotpepper.jp/strJ000234819/?vos=nhppalsa000016","050-5265-2090","https://imgfp.hotp.jp/IMGH/26/93/P021502693/P021502693_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:44"
43,"シャンクレール パノラマラウンジ",35.6748057281,139.7669975370,"東京都中央区銀座１-５-１３　ＺＸ銀座ビル　１０Ｆ","月～日、祝日、祝前日: 07:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）","5001～7000円","https://www.hotpepper.jp/strJ001160468/?vos=nhppalsa000016","050-5284-9844","https://imgfp.hotp.jp/IMGH/62/67/P023266267/P023266267_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:44"
44,"かざくら 隠れ家 並木通り銀座一丁目店",35.6749498713,139.7667272764,"東京都中央区銀座１－４－６　紅雀ビルB１","月～日、祝日、祝前日: 17:00～翌5:00","3001～4000円","https://www.hotpepper.jp/strJ000963791/?vos=nhppalsa000016","03-3535-0570","https://imgfp.hotp.jp/IMGH/19/25/P021941925/P021941925_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:45"
45,"車 銀座一丁目店",35.6746499131,139.7670272630,"東京都中央区銀座１－５－１０　ＧＩＮＺＡ　1ｓｔ　５ビルＢ1","月～金、祝前日: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 11:30～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）16:30～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）","4001～5000円","https://www.hotpepper.jp/strJ000063969/?vos=nhppalsa000016","03-3561-9601","https://imgfp.hotp.jp/IMGH/55/57/P022785557/P022785557_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:45"
46,"銀座 舞桜",35.6746499131,139.7670272630,"東京都中央区銀座１－５－１０　ファーストファイブビル　６Ｆ","月～木: 11:30～14:0017:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）金: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）土: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:30）祝前日: 17:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌0:00）","4001～5000円","https://www.hotpepper.jp/strJ000696747/?vos=nhppalsa000016","03-6675-9496","https://imgfp.hotp.jp/IMGH/30/58/P011573058/P011573058_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:45"
47,"酒菜庵 ちゃぼうず",35.6748440492,139.7667017273,"東京都中央区銀座１－４－６　ナスダビル２Ｆ","月～金、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）日: 16:00～23:00 （料理L.O. 23:00 ドリンクL.O. 22:30）祝日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）","4001～5000円","https://www.hotpepper.jp/strJ000011399/?vos=nhppalsa000016","050-5827-0882","https://imgfp.hotp.jp/IMGH/17/83/P024521783/P024521783_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:45"
48,"オアシス グリルアンドイタリアン oasis GRILL&ITALIAN",35.6749054293,139.7666328417,"東京都中央区銀座１－４－８","月～土、祝前日: 18:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）","3001～4000円","https://www.hotpepper.jp/strJ000689343/?vos=nhppalsa000016","050-5265-2905","https://imgfp.hotp.jp/IMGH/21/51/P025272151/P025272151_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:45"
49,"かっこ 銀座店",35.6746221387,139.7670383742,"東京都中央区銀座１-5-10　銀座ファーストファイブビル7F","月～木、日、祝日: 17:00～翌1:00金、土、祝前日: 17:00～翌3:00","3001～4000円","https://www.hotpepper.jp/strJ000759663/?vos=nhppalsa000016","050-5861-3342","https://imgfp.hotp.jp/IMGH/29/37/P021032937/P021032937_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:46"
50,"くいもの屋 わん 銀座店",35.6745879748,139.7669967125,"東京都中央区銀座１－５－１０　ＧＩＮＺＡ１ｓｔ５ビル３Ｆ","月～木、土、日、祝日: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）金、祝前日: 17:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）","2001～3000円","https://www.hotpepper.jp/strJ000001475/?vos=nhppalsa000016","050-5815-0312","https://imgfp.hotp.jp/IMGH/90/94/P026529094/P026529094_238.jpg",NULL,"2017-05-12 06:48:55","2017-05-12 06:53:46"
51,"MY HUMBLE HOUSE TOKYO マイ ハンブル ハウス トウキョウ",35.6734750117,139.7657690837,"東京都中央区銀座３－３－１　ＺＯＥ銀座Ｂ１Ｆ","月～土、祝前日: 18:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:00）日、祝日: 18:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）","5001～7000円","https://www.hotpepper.jp/strJ000011420/?vos=nhppalsa000016","050-5815-5619","https://imgfp.hotp.jp/IMGH/20/03/P011972003/P011972003_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:46"
52,"バグース プレイス THE BAGUS PLACE",35.6739527461,139.7661573648,"東京都中央区銀座２－４－６　銀座Velvia館B1F","月～土、祝前日: 11:30～翌5:00日、祝日: 11:30～23:00","4001～5000円","https://www.hotpepper.jp/strJ000955112/?vos=nhppalsa000016","03-5524-3991","https://imgfp.hotp.jp/IMGH/02/44/P021060244/P021060244_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:46"
53,"SAIKA サイカ 銀座店",35.6742277178,139.7662579008,"東京都中央区銀座２-4-18 アルボーレ銀座6F","月～日、祝日、祝前日: 17:00～23:00 （料理L.O. 23:00 ドリンクL.O. 23:00）","3001～4000円","https://www.hotpepper.jp/strJ000981550/?vos=nhppalsa000016","050-5816-8815","https://imgfp.hotp.jp/IMGH/53/40/P017675340/P017675340_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:47"
54,"URA NO NIWA 裏NO庭 銀座店",35.6730472834,139.7658190966,"東京都中央区銀座３-4-17　銀座オプティカビル4F・5F","月～木、日、祝日: 17:00～翌0:00金、土、祝前日: 17:00～翌5:00","3001～4000円","https://www.hotpepper.jp/strJ000762122/?vos=nhppalsa000016","050-5815-4022","https://imgfp.hotp.jp/IMGH/95/07/P026789507/P026789507_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:47"
55,"マンジェ エ ボワール ナガオ",35.6730084040,139.7660107486,"東京都中央区銀座３-4-5　中山ビル2F","月: 18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）火～金、祝前日: 18:00～翌1:00 （料理L.O. 23:30 ドリンクL.O. 23:30）土: 17:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）","7001～10000円","https://www.hotpepper.jp/strJ000116775/?vos=nhppalsa000016","03-3535-4066","https://imgfp.hotp.jp/IMGH/05/60/P020790560/P020790560_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:47"
56,"ギンザ ルーツ トウキョウ GINZA ROOTS TOKYO",35.6742627190,139.7664492720,"東京都中央区銀座２-4-18　アルボーレ銀座７Ｆ","月～土、祝前日: 18:00～翌2:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:00）日、祝日: 18:00～翌0:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）","3001～4000円","https://www.hotpepper.jp/strJ000839537/?vos=nhppalsa000016","050-5816-5314","https://imgfp.hotp.jp/IMGH/36/03/P027033603/P027033603_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:47"
57,"ミユキカン カフェ de GINZA MIYUKI KAN 3丁目店",35.6730639325,139.7652330346,"東京都中央区銀座３-3-15　銀座アベニュービル１Ｆ・２Ｆ ","月～金、祝前日: 11:30～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土: 11:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）","～2000円","https://www.hotpepper.jp/strJ000788901/?vos=nhppalsa000016","03-3563-3022","https://imgfp.hotp.jp/IMGH/24/10/P012122410/P012122410_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:47"
58,"ジョイサウンド JOYSOUND 銀座2丁目店",35.6745551627,139.7655771121,"東京都中央区銀座２-2-18 TH銀座ビル　受付５Ｆ","月～金、祝前日: 14:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）土、日、祝日: 13:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）","～2000円","https://www.hotpepper.jp/strJ001102332/?vos=nhppalsa000016","050-5257-0880","https://imgfp.hotp.jp/IMGH/10/11/P025081011/P025081011_238.jpg",NULL,"2017-05-12 06:48:56","2017-05-12 06:53:48"
